decision,reaction ID,genes,spore,mother,name,reaction,reaction_with_names
,CYTB_B3,BSU38170 and BSU38160 and BSU38150 and BSU38140,0,0,Menauinol oxidase  72 protons ,4.0 h_c + mql7_c + 0.5 o2_c --> h2o_c + 4.0 h_e + mqn7_c,4.0 H+ + Menaquinol 7 C46H66O2 + 0.5 O2 O2 --> H2O H2O + 4.0 H+ + Menaquinone 7 C46H64O2
,CYTD,BSU25300,0,0,Cytidine deaminase,cytd_c + h2o_c + h_c --> nh4_c + uri_c,Cytidine + H2O H2O + H+ --> Ammonium + Uridine
,CYTDK1,BSU27330,0,5.10E-06,ATP:cytidine 5'-phosphotransferase,atp_c + cytd_c --> adp_c + cmp_c + h_c,ATP C10H12N5O13P3 + Cytidine --> ADP C10H12N5O10P2 + CMP C9H12N3O8P + H+
,CYTDK2,BSU27330,0,0,Cytidine kinase (GTP),cytd_c + gtp_c --> cmp_c + gdp_c + h_c,Cytidine + GTP C10H12N5O14P3 --> CMP C9H12N3O8P + GDP C10H12N5O11P2 + H+
,CYTDt2,BSU39020 or BSU39410 or BSU32180,0,0,Cytidine transport in via proton symport,cytd_e + h_e --> cytd_c + h_c,Cytidine + H+ --> Cytidine + H+
,CYTK2,BSU22890,0,0,Cytidylate kinase (dCMP),atp_c + dcmp_c <=> adp_c + dcdp_c,ATP C10H12N5O13P3 + DCMP C9H12N3O7P <=> ADP C10H12N5O10P2 + DCDP C9H12N3O10P2
,D4DGCD,BSU02460,0,0,5 dehydro 4 deoxyglucarate dehydratase,5d4dglcr_c + h_c --> 25dop_c + co2_c + h2o_c,5 Dehydro 4 deoxy D glucarate C6H6O7 + H+ --> 2 5 Dioxopentanoate C5H5O4 + CO2 CO2 + H2O H2O
,DAAOP,BSU12920,0,0,D alanyl aminopeptidase,alaala_e + h2o_e --> 2.0 ala__D_e,D-Alanyl-D-alanine + H2O H2O --> 2.0 D-Alanine
,DADK,BSU01370,0,0,Deoxyadenylate kinase,atp_c + damp_c <=> adp_c + dadp_c,ATP C10H12N5O13P3 + DAMP C10H12N5O6P <=> ADP C10H12N5O10P2 + DADP C10H12N5O9P2
,DADNK,BSU00140,0,0,Deoxyadenosine kinase,atp_c + dad_2_c --> adp_c + damp_c + h_c,ATP C10H12N5O13P3 + Deoxyadenosine --> ADP C10H12N5O10P2 + DAMP C10H12N5O6P + H+
,DAGK_BS,BSU25310,0,0,Diacylglycerol kinase,0.01 12dgr_BS_c + atp_c --> 0.01 12dag3p_BS_c + adp_c + h_c,0.01 1 2 diacylglycerol C3436H6672O500 + ATP C10H12N5O13P3 --> 0.01 1 2 diacyl sn glycerol 3 phosphate C3436H6572O800P100 + ADP C10H12N5O10P2 + H+
,DALAOX,BSU11670,0,0,D amino acid oxidase,ala__D_c + h2o_c + o2_c --> h2o2_c + nh4_c + pyr_c,D-Alanine + H2O H2O + O2 O2 --> Hydrogen peroxide + Ammonium + Pyruvate
,DALAt2r,BSU27810 or BSU02420 or BSU18120,0,0,D-alanine transport via proton symport,ala__D_e + h_e --> ala__D_c + h_c,D-Alanine + H+ --> D-Alanine + H+
,DB4PS,BSU23260,0,2.05E-08,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",ru5p__D_c --> db4p_c + for_c + h_c,"D-Ribulose 5-phosphate --> 3,4-dihydroxy-2-butanone 4-phosphate + Formate + H+"
,DBTS,BSU30210,0,0,Dethiobiotin synthase,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,"ATP C10H12N5O13P3 + CO2 CO2 + 7,8-Diaminononanoate --> ADP C10H12N5O10P2 + Dethiobiotin + 3.0 H+ + Phosphate"
,DCMPDA,BSU25580,0,0,DCMP deaminase,dcmp_c + h2o_c + h_c --> dump_c + nh4_c,DCMP C9H12N3O7P + H2O H2O + H+ --> DUMP C9H11N2O8P + Ammonium
,DCYTD,BSU25300,0,0,Deoxycytidine deaminase,dcyt_c + h2o_c + h_c --> duri_c + nh4_c,Deoxycytidine + H2O H2O + H+ --> Deoxyuridine + Ammonium
,DCYTt2,BSU39410 or BSU39020 or BSU32180,0,0,Deoxycytidine transport in via proton symport,dcyt_e + h_e --> dcyt_c + h_c,Deoxycytidine + H+ --> Deoxycytidine + H+
,DDGLCNt2r,BSU22090,0,0,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible",2ddglcn_e + h_e <=> 2ddglcn_c + h_c,2-Dehydro-3-deoxy-D-gluconate + H+ <=> 2-Dehydro-3-deoxy-D-gluconate + H+
,DDGLK,BSU22110,0,0,2-dehydro-3-deoxygluconokinase,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c,2-Dehydro-3-deoxy-D-gluconate + ATP C10H12N5O13P3 --> 2-Dehydro-3-deoxy-D-gluconate 6-phosphate + ADP C10H12N5O10P2 + H+
,DEXTRINt2,,0,0,Dextrin transport in via proton symport,dextrin_e + h_e --> dextrin_c + h_c,Dextrin C12H20O10 + H+ --> Dextrin C12H20O10 + H+
,DHAt,,0,0,Dihydroxyacetone transport via facilitated diffusion,dha_e <=> dha_c,Dihydroxyacetone <=> Dihydroxyacetone
,DHBD,BSU32000,0,0,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,"2,3-Dihydro-2,3-dihydroxybenzoate + Nicotinamide adenine dinucleotide <=> 2,3-Dihydroxybenzoate + H+ + Nicotinamide adenine dinucleotide - reduced"
,DHBS,BSU31980,0,0,"2,3-dihydroxybenzoate adenylate synthase",23dhb_c + atp_c + h_c --> 23dhba_c + ppi_c,"2,3-Dihydroxybenzoate + ATP C10H12N5O13P3 + H+ --> (2,3-Dihydroxybenzoyl)adenylate + Diphosphate"
,DHFS,BSU28080,0,1.15E-05,Dihydrofolate synthase,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,"ATP C10H12N5O13P3 + Dihydropteroate + L-Glutamate --> ADP C10H12N5O10P2 + 7,8-Dihydrofolate + H+ + Phosphate"
,DHNAOT7,BSU38490,0,0,1 4 dihydroxy 2 naphthoate octaprenyltransferase,dhna_c + hepdp_c + nad_c --> 2dmmq7_c + co2_c + nadh_c + ppi_c,"1,4-Dihydroxy-2-naphthoate + All-trans-Heptaprenyl diphosphate + Nicotinamide adenine dinucleotide --> 2 Demethylmenaquinone 7 C45H62O2 + CO2 CO2 + Nicotinamide adenine dinucleotide - reduced + Diphosphate"
,DHNPA_1,BSU00780,0,1.15E-05,Dihydroneopterin aldolase,dhnpt_c --> 2ahhmp_c + gcald_c,Dihydroneopterin --> 2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine C7H9N5O2 + Glycolaldehyde
,DHPPDA,BSU23280,0,1.03E-08,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,25dhpp_c + h2o_c + h_c --> 5apru_c + nh4_c,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P + H2O H2O + H+ --> 5-Amino-6-(5'-phosphoribosylamino)uracil + Ammonium
,DINSK,BSU00150,0,0,Deoxyinosine kinase,atp_c + din_c --> adp_c + dimp_c,ATP C10H12N5O13P3 + Deoxyinosine --> ADP C10H12N5O10P2 + DIMP C10H12N4O7P
,DIPEPabc1,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  ala asp ,ala_L_asp__L_e + atp_c + h2o_c --> adp_c + ala_L_asp__L_c + h_c + pi_c,Ala L asp L C7H11N2O5 + ATP C10H12N5O13P3 + H2O H2O --> ADP C10H12N5O10P2 + Ala L asp L C7H11N2O5 + H+ + Phosphate
,DIPEPabc10,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  gly glu ,atp_c + gly_glu__L_e + h2o_c --> adp_c + gly_glu__L_c + h_c + pi_c,ATP C10H12N5O13P3 + Gly glu L C7H11N2O5 + H2O H2O --> ADP C10H12N5O10P2 + Gly glu L C7H11N2O5 + H+ + Phosphate
,DIPEPabc11,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  gly met ,atp_c + gly_met__L_e + h2o_c --> adp_c + gly_met__L_c + h_c + pi_c,ATP C10H12N5O13P3 + Gly Met C7H14N2O3S + H2O H2O --> ADP C10H12N5O10P2 + Gly Met C7H14N2O3S + H+ + Phosphate
,DIPEPabc12,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  met ala ,atp_c + h2o_c + met_L_ala__L_e --> adp_c + h_c + met_L_ala__L_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + Met L ala L C8H16N2O3S --> ADP C10H12N5O10P2 + H+ + Met L ala L C8H16N2O3S + Phosphate
,DIPEPabc13,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  gly asp ,atp_c + gly_asp__L_e + h2o_c --> adp_c + gly_asp__L_c + h_c + pi_c,ATP C10H12N5O13P3 + Gly asp L C6H9N2O5 + H2O H2O --> ADP C10H12N5O10P2 + Gly asp L C6H9N2O5 + H+ + Phosphate
,DIPEPabc14,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  gly pro L ,atp_c + gly_pro__L_e + h2o_c --> adp_c + gly_pro__L_c + h_c + pi_c,ATP C10H12N5O13P3 + Gly pro L C7H12N2O3 + H2O H2O --> ADP C10H12N5O10P2 + Gly pro L C7H12N2O3 + H+ + Phosphate
,DIPEPabc15,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  cgly ,atp_c + cgly_e + h2o_c --> adp_c + cgly_c + h_c + pi_c,ATP C10H12N5O13P3 + Cys Gly C5H10N2O3S + H2O H2O --> ADP C10H12N5O10P2 + Cys Gly C5H10N2O3S + H+ + Phosphate
,DIPEPabc2,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  ala gln ,ala_L_gln__L_e + atp_c + h2o_c --> adp_c + ala_L_gln__L_c + h_c + pi_c,Ala Gln C8H15N3O4 + ATP C10H12N5O13P3 + H2O H2O --> ADP C10H12N5O10P2 + Ala Gln C8H15N3O4 + H+ + Phosphate
,DIPEPabc3,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  ala glu ,ala_L_glu__L_e + atp_c + h2o_c --> adp_c + ala_L_glu__L_c + h_c + pi_c,Ala L glu L C8H13N2O5 + ATP C10H12N5O13P3 + H2O H2O --> ADP C10H12N5O10P2 + Ala L glu L C8H13N2O5 + H+ + Phosphate
,DIPEPabc4,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  ala gly ,L_alagly_e + atp_c + h2o_c --> L_alagly_c + adp_c + h_c + pi_c,L alanylglycine C5H10N2O3 + ATP C10H12N5O13P3 + H2O H2O --> L alanylglycine C5H10N2O3 + ADP C10H12N5O10P2 + H+ + Phosphate
,DIPEPabc5,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  ala his ,ala_L_his__L_e + atp_c + h2o_c --> adp_c + ala_L_his__L_c + h_c + pi_c,Ala His C9H14N4O3 + ATP C10H12N5O13P3 + H2O H2O --> ADP C10H12N5O10P2 + Ala His C9H14N4O3 + H+ + Phosphate
,DIPEPabc6,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  ala leu ,ala_L_leu__L_e + atp_c + h2o_c --> adp_c + ala_L_leu__L_c + h_c + pi_c,Ala Leu C9H18N2O3 + ATP C10H12N5O13P3 + H2O H2O --> ADP C10H12N5O10P2 + Ala Leu C9H18N2O3 + H+ + Phosphate
,DIPEPabc7,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  ala thr ,ala_L_Thr__L_e + atp_c + h2o_c --> adp_c + ala_L_Thr__L_c + h_c + pi_c,Ala L Thr L C7H14N2O4 + ATP C10H12N5O13P3 + H2O H2O --> ADP C10H12N5O10P2 + Ala L Thr L C7H14N2O4 + H+ + Phosphate
,DIPEPabc8,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  gly asn ,atp_c + gly_asn__L_e + h2o_c --> adp_c + gly_asn__L_c + h_c + pi_c,ATP C10H12N5O13P3 + Gly asn L C6H11N3O4 + H2O H2O --> ADP C10H12N5O10P2 + Gly asn L C6H11N3O4 + H+ + Phosphate
,DIPEPabc9,BSU12930 and BSU12940 and BSU12950 and BSU12960,0,0,Dipeptide transport via ABC system  gly gln ,atp_c + gly_gln__L_e + h2o_c --> adp_c + gly_gln__L_c + h_c + pi_c,ATP C10H12N5O13P3 + Gly Gln C7H13N3O4 + H2O H2O --> ADP C10H12N5O10P2 + Gly Gln C7H13N3O4 + H+ + Phosphate
,DJENKabc,,0,0,Djenkolate transporter via ABC system,atp_c + djenk_e + h2o_c --> adp_c + djenk_c + h_c + pi_c,ATP C10H12N5O13P3 + Djenkolate C7H14N2O4S2 + H2O H2O --> ADP C10H12N5O10P2 + Djenkolate C7H14N2O4S2 + H+ + Phosphate
,DKI,BSU22130,0,0,5 Dehydro 4 deoxy D glucuronate ketol isomerase,5dh4dglcn_c <=> 46dh25dohxn_c,5 Dehydro 4 deoxy D glucuronate C6H7O6 <=>  4S  4 6 Dihydroxy 2 5 dioxohexanoate C6H7O6
,DKII,BSU22140,0,0,2 dehydro 3 deoxy D gluconate 5 dehydrogenase,46dh25dohxn_c + h_c + nadh_c --> 2ddglcn_c + nad_c, 4S  4 6 Dihydroxy 2 5 dioxohexanoate C6H7O6 + H+ + Nicotinamide adenine dinucleotide - reduced --> 2-Dehydro-3-deoxy-D-gluconate + Nicotinamide adenine dinucleotide
,DKMD2K,BSU13620,0,0,1 2 dihydroxy 3 keto 5 methylthiopentene dioxygenase  2 keto 4 methylthiobutyrate ,12d3k5m_c + o2_c --> 2kmb_c + for_c,1 2 dihydroxy 3 keto 5 methylthiopentene C6H8O3S + O2 O2 --> 2-keto-4-methylthiobutyrate + Formate
,DKMD3M,BSU13620,0,0,1 2 dihydroxy 3 keto 5 methylthiopentene dioxygenase  3 methylthiopropionate ,12d3k5m_c + o2_c --> 3mtp_c + co_c + for_c,1 2 dihydroxy 3 keto 5 methylthiopentene C6H8O3S + O2 O2 --> 3 Methylthiopropionate C4H7O2S + Carbon monoxide + Formate
,DM1PE,BSU13590,0,0,2 3 diketo 5 methylthiopentyl 1 phosphate enolase,dkmpp_c <=> 2h3k5m_c + h_c,"2,3-diketo-5-methylthio-1-phosphopentane <=> 2 hydroxy 3 keto 5 methylthiopentenyl 1 phosphate C6H8O6PS + H+"
,DMATT,BSU24280,0,0,Dimethylallyltranstransferase,dmpp_c + ipdp_c --> grdp_c + ppi_c,Dimethylallyl diphosphate + Isopentenyl diphosphate --> Geranyl diphosphate + Diphosphate
,DMPPS,BSU25160,0,0,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate + H+ + Nicotinamide adenine dinucleotide - reduced --> Dimethylallyl diphosphate + H2O H2O + Nicotinamide adenine dinucleotide
,DPCOAK,BSU29060,0,0,Dephospho-CoA kinase,atp_c + dpcoa_c --> adp_c + coa_c + h_c,ATP C10H12N5O13P3 + Dephospho-CoA --> ADP C10H12N5O10P2 + Coenzyme A + H+
,DPR,BSU15110,0,6.09E-19,2-dehydropantoate 2-reductase,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,2-Dehydropantoate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced --> Nicotinamide adenine dinucleotide phosphate + (R)-Pantoate
,DRBK,BSU35920,0,0,Deoxyribokinase,atp_c + drib_c <=> 2dr5p_c + adp_c + h_c,ATP C10H12N5O13P3 + Deoxyribose C5H10O4 <=> 2-Deoxy-D-ribose 5-phosphate + ADP C10H12N5O10P2 + H+
,DRIBabc,BSU35940 and BSU35960 and BSU35950 and BSU35930,0,0,Deoxyribose transport via ABC system,atp_c + drib_e + h2o_c --> adp_c + drib_c + h_c + pi_c,ATP C10H12N5O13P3 + Deoxyribose C5H10O4 + H2O H2O --> ADP C10H12N5O10P2 + Deoxyribose C5H10O4 + H+ + Phosphate
,DSERt2,,0,0,D-serine transport via proton symport,h_e + ser__D_e <=> h_c + ser__D_c,H+ + D-Serine <=> H+ + D-Serine
,DUTPDP,BSU17660 or BSU20020,0,0,DUTP diphosphatase,dutp_c + h2o_c --> dump_c + h_c + ppi_c,DUTP C9H11N2O14P3 + H2O H2O --> DUMP C9H11N2O8P + H+ + Diphosphate
,DXPRIi,BSU16550,0,0,1-deoxy-D-xylulose reductoisomerase,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,1-deoxy-D-xylulose 5-phosphate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced --> 2-C-methyl-D-erythritol 4-phosphate + Nicotinamide adenine dinucleotide phosphate
,DXPS,BSU24270,0,0,1-deoxy-D-xylulose 5-phosphate synthase,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,Glyceraldehyde 3-phosphate + H+ + Pyruvate --> CO2 CO2 + 1-deoxy-D-xylulose 5-phosphate
,ECOAH1_1,BSU18220 or BSU28540,0,0,3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA ,3hbycoa_c <=> b2coa_c + h2o_c, S  3 Hydroxybutyryl CoA C25H38N7O18P3S <=> Crotonoyl-CoA + H2O H2O
,ECOAH2,BSU28540 or BSU18220,0,0,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),3hhcoa_c <=> h2o_c + hx2coa_c,(S)-3-Hydroxyhexanoyl-CoA <=> H2O H2O + Trans-Hex-2-enoyl-CoA
,ECOAH2c,BSU18220 or BSU28540,0,0,Enoyl CoA hydratase  bacterial,2mp2coa_c + h2o_c + h_c <=> hibcoa_c,2-Methylprop-2-enoyl-CoA + H2O H2O + H+ <=>  S  3 Hydroxyisobutyryl CoA C25H38N7O18P3S
,ECOAH3,BSU18220 or BSU28540,0,0,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),3hocoa_c <=> h2o_c + oc2coa_c,(S)-3-Hydroxyoctanoyl-CoA <=> H2O H2O + Trans-Oct-2-enoyl-CoA
,ECOAH4,BSU18220 or BSU28540,0,0,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),3hdcoa_c <=> dc2coa_c + h2o_c,(S)-3-Hydroxydecanoyl-CoA <=> Trans-Dec-2-enoyl-CoA + H2O H2O
,ECOAH5_1,BSU28540 or BSU18220,0,0,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA ,3hddcoa_c <=> h2o_c + trans_dd2coa_c,(S)-3-Hydroxydodecanoyl-CoA <=> H2O H2O + Trans Dodec 2 enoyl CoA C33H52N7O17P3S
,ECOAH6,BSU18220 or BSU28540,0,0,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),3htdcoa_c <=> h2o_c + td2coa_c,(S)-3-Hydroxytetradecanoyl-CoA <=> H2O H2O + Trans-Tetradec-2-enoyl-CoA
,ECOAH9ir,BSU18220 or BSU28540,0,0,2 Methylprop 2 enoyl CoA  2 Methylbut 2 enoyl CoA ,2mb2coa_c + h2o_c <=> 3hmbcoa_c,Trans-2-Methylbut-2-enoyl-CoA + H2O H2O <=> (S)-3-Hydroxy-2-methylbutyryl-CoA
,ECTOINEabc,BSU33830 and BSU33820 and BSU33810 and BSU33800,0,0,Ecotine transport in via ABC system,atp_c + ectoine_e + h2o_c --> adp_c + ectoine_c + h_c + pi_c,ATP C10H12N5O13P3 + Ectoine C6H12N2O2 + H2O H2O --> ADP C10H12N5O10P2 + Ectoine C6H12N2O2 + H+ + Phosphate
,EDA,BSU22100,0,0,2-dehydro-3-deoxy-phosphogluconate aldolase,2ddg6p_c --> g3p_c + pyr_c,2-Dehydro-3-deoxy-D-gluconate 6-phosphate --> Glyceraldehyde 3-phosphate + Pyruvate
,ETHAAL,,0,0,Ethanolamine ammonia-lyase,etha_c --> acald_c + nh4_c,Ethanolamine --> Acetaldehyde + Ammonium
,ETHAt6,BSU39450,0,0,Ethanolamine transport inout via proton symport,etha_e + h_e <=> etha_c + h_c,Ethanolamine + H+ <=> Ethanolamine + H+
,ETHSabc,BSU08840 and BSU08830 and BSU08850,0,0,Ethanesulfonate transport via ABC system,atp_c + eths_e + h2o_c --> adp_c + eths_c + h_c + pi_c,ATP C10H12N5O13P3 + Ethanesulfonate C2H5O3S + H2O H2O --> ADP C10H12N5O10P2 + Ethanesulfonate C2H5O3S + H+ + Phosphate
,ETOHtex,,0,0,Ethanol transport via diffusion,etoh_e --> etoh_c,Ethanol --> Ethanol
,EX_2ddglcn_e,,0,0,2-Dehydro-3-deoxy-D-gluconate exchange,2ddglcn_e --> ,2-Dehydro-3-deoxy-D-gluconate --> 
,EX_2hxmp_e,,0,0,2  Hydroxymethyl phenol exchange,2hxmp_e --> ,2  Hydroxymethyl phenol C7H8O2 --> 
,EX_2pg_e,,0,0,D Glycerate 2 phosphate exchange,2pg_e --> ,D-Glycerate 2-phosphate --> 
,EX_2pglyc_e,,0,0,2 Phosphoglycolate exchange,2pglyc_e --> ,2-Phosphoglycolate --> 
,EX_3amba_e,,0,0,3 aminobutanoic acid exchange,3amba_e --> ,3 aminobutanoic acid C4H9NO2 --> 
,EX_3amp_e,,0,0,3'-AMP exchange,3amp_e --> ,3  AMP C10H12N5O7P --> 
,EX_3cmp_e,,0,0,3'-cmp exchange,3cmp_e --> ,3  CMP C9H12N3O8P --> 
,EX_3gmp_e,,0,0,3'-GMP exchange,3gmp_e --> ,Guanosine 3  phosphate C10H12N5O8P --> 
,EX_3pg_e,,0,0,3 Phospho D glycerate exchange,3pg_e --> ,3-Phospho-D-glycerate --> 
,EX_3ump_e,,0,0,3'-UMP exchange,3ump_e --> ,3  UMP C9H11N2O9P --> 
,EX_4abut_e,,0,0,4-Aminobutanoate exchange,4abut_e --> ,4-Aminobutanoate --> 
,EX_5mtr_e,,0,0,5-Methylthio-D-ribose exchange,5mtr_e --> ,5-Methylthio-D-ribose --> 
,EX_6pgc_e,,0,0,6 Phospho D gluconate exchange,6pgc_e --> ,6-Phospho-D-gluconate --> 
,EX_abt__L_e,,0,0,L Arabinitol exchange,abt__L_e --> ,L Arabinitol C5H12O5 --> 
,EX_ac_e,,0,0,Acetate exchange,ac_e --> ,Acetate --> 
,EX_acac_e,,0,0,Acetoacetate exchange,acac_e --> ,Acetoacetate --> 
,EX_acgam_e,,0,0,N-Acetyl-D-glucosamine exchange,acgam_e --> ,N-Acetyl-D-glucosamine --> 
,EX_acmana_e,,0,0,N-Acetyl-D-mannosamine exchange,acmana_e --> ,N-Acetyl-D-mannosamine --> 
,EX_acnam_e,,0,0,N-Acetylneuraminate exchange,acnam_e --> ,N-Acetylneuraminate --> 
,EX_actn__R_e,,0,0,EX actn R LPAREN e RPAREN ,actn__R_e --> , R  Acetoin C4H8O2 --> 
,EX_ade_e,,0,0,Adenine exchange,ade_e --> ,Adenine --> 
,EX_adn_e,,0,0,Adenosine exchange,adn_e --> ,Adenosine --> 
,EX_akg_e,,0,0,2-Oxoglutarate exchange,akg_e --> ,2-Oxoglutarate --> 
,EX_ala__D_e,,0,0,D-Alanine exchange,ala__D_e --> ,D-Alanine --> 
,EX_ala__L_e,,0,0,L-Alanine exchange,ala__L_e --> ,L-Alanine --> 
,EX_ala_B_e,,0,0,Beta-Alanine exchange,ala_B_e --> ,Beta-Alanine --> 
,EX_ala_L_asp__L_e,,0,0,Ala L asp L exchange,ala_L_asp__L_e --> ,Ala L asp L C7H11N2O5 --> 
,EX_ala_L_gln__L_e,,0,0,Ala Gln exchange,ala_L_gln__L_e --> ,Ala Gln C8H15N3O4 --> 
,EX_ala_L_glu__L_e,,0,0,Ala L glu L exchange,ala_L_glu__L_e --> ,Ala L glu L C8H13N2O5 --> 
,EX_ala_L_his__L_e,,0,0,Ala His exchange,ala_L_his__L_e --> ,Ala His C9H14N4O3 --> 
,EX_ala_L_leu__L_e,,0,0,Ala Leu exchange,ala_L_leu__L_e --> ,Ala Leu C9H18N2O3 --> 
,EX_ala_L_Thr__L_e,,0,0,Ala L Thr L exchange,ala_L_Thr__L_e --> ,Ala L Thr L C7H14N2O4 --> 
,EX_alaala_e,,0,0,D-Alanyl-D-alanine exchange,alaala_e --> ,D-Alanyl-D-alanine --> 
,EX_alltn_e,,0,0,Allantoin exchange,alltn_e --> ,Allantoin --> 
,EX_amp_e,,0,0,AMP exchange,amp_e --> ,AMP C10H12N5O7P --> 
,EX_amylase_e,,0,0,Mature Bacillus subtilis amylase exchange,amylase_e --> ,Mature Bacillus subtilis amylase C3040H4569N861O981S11 --> 
,EX_antim_e,,0,0,Antimonite exchange,antim_e --> ,Antimonite Sb --> 
,EX_arab__D_e,,0,0,D Arabinose exchange,arab__D_e --> ,D Arabinose C5H10O5 --> 
,EX_arab__L_e,,0,0,L-Arabinose exchange,arab__L_e --> ,L-Arabinose --> 
,EX_arbt_e,,0,0,Arbutin exchange,arbt_e --> ,Arbutin C12H16O7 --> 
,EX_arg__L_e,,0,0,L-Arginine exchange,arg__L_e --> ,L-Arginine --> 
,EX_argp_e,,0,0,L Arginine phosphate exchange,argp_e --> ,L Arginine phosphate C6H14N4O5P --> 
,EX_arsenb_e,,0,0,ARSENOBETAINE exchange,arsenb_e --> ,ARSENOBETAINE C5H11AsO2 --> 
,EX_arsna_e,,0,0,Arsenate exchange,arsna_e --> ,Arsenate AsHO4 --> 
,EX_arsni2_e,,0,0,Arsenite exchange,arsni2_e --> ,Arsenite AsH3O3 --> 
,EX_asn__L_e,,0,0,L-Asparagine exchange,asn__L_e --> ,L-Asparagine --> 
,EX_asp__L_e,,0,0,L-Aspartate exchange,asp__L_e --> ,L-Aspartate --> 
,EX_bilea_e,,0,0,Bile acid exchange,bilea_e --> ,Bile acid C24H39O5 --> 
,EX_btd_RR_e,,0,0, R R  2 3 Butanediol exchange,btd_RR_e --> , R R  2 3 Butanediol C4H10O2 --> 
,EX_buts_e,,0,0,Butanesulfonate exchange,buts_e --> ,Butanesulfonate C4H9O3S --> 
,EX_ca2_e,,0,0,Calcium exchange,ca2_e <=> ,Calcium <=> 
,EX_cbl1_e,,0,0,Cobalamin exchange,cbl1_e <=> , <=> 
,EX_cbl2_e,,0,0,Cob II alamin exchange,cbl2_e --> ,Cob II alamin C62H88CoN13O14P --> 
,EX_cd2_e,,0,0,Cadmium exchange,cd2_e --> ,Cadmium --> 
,EX_cellb_e,,0,0,Cellobiose exchange,cellb_e --> ,Cellobiose --> 
,EX_cgly_e,,0,0,Cys-Gly exchange,cgly_e --> ,Cys Gly C5H10N2O3S --> 
,EX_chitob_e,,0,0,Chitobiose exchange,chitob_e --> ,Chitobiose C16H28N2O11 --> 
,EX_chol_e,,0,0,Choline exchange,chol_e --> ,Choline C5H14NO --> 
,EX_chols_e,,0,0,EX chols LPAREN e RPAREN ,chols_e --> ,Choline sulfate --> 
,EX_chor_e,,0,0,Chorismate exchange,chor_e --> ,Chorismate --> 
,EX_cit_e,,0,0,Citrate exchange,cit_e --> ,Citrate --> 
,EX_citr__L_e,,0,0,L-Citrulline exchange,citr__L_e --> ,L-Citrulline --> 
,EX_cmp_e,,0,0,CMP exchange,cmp_e --> ,CMP C9H12N3O8P --> 
,EX_co2_e,,0,0,CO2 exchange,co2_e <=> ,CO2 CO2 <=> 
,EX_cobalt2_e,,0,0,Co2+ exchange,cobalt2_e --> ,Co2+ --> 
